Names,Setting Index
single_pulse,0
paired40ms_RightAligned_End130pt,1
paired130ms_RightAligned_End130pt,2
paired80ms_RightAligned_End130pt,3
paired40ms_RightAligned_End130pt,4
paired70ms_RightAligned_End130pt,5
paired10ms_RightAligned_End130pt,6
paired20ms_RightAligned_End130pt,7
paired90ms_RightAligned_End130pt,8
paired60ms_RightAligned_End130pt,9
paired40ms_RightAligned_End130pt,10
paired100ms_RightAligned_End130pt,11
paired130ms_RightAligned_End130pt,12
paired110ms_RightAligned_End130pt,13
paired50ms_RightAligned_End130pt,14
paired30ms_RightAligned_End130pt,15
paired80ms_RightAligned_End130pt,16
paired120ms_RightAligned_End130pt,17
paired130ms_RightAligned_End280pt,18
paired80ms_RightAligned_End280pt,19
paired70ms_RightAligned_End280pt,20
paired10ms_RightAligned_End130pt,21
paired100ms_RightAligned_End130pt,22
paired20ms_RightAligned_End130pt,23
PPR_control120ms_RightAligned_End130pt,24
PPR_control100ms_RightAligned_End130pt,25
PPR_control80ms_RightAligned_End130pt,26
PPR_control10ms_RightAligned_End130pt,27
PPR_control30ms_RightAligned_End130pt,28
PPR_control90ms_RightAligned_End130pt,29
PPR_control70ms_RightAligned_End130pt,30
PPR_control40ms_RightAligned_End130pt,31
PPR_control110ms_RightAligned_End130pt,32
PPR_control60ms_RightAligned_End130pt,33
PPR_control130ms_RightAligned_End130pt,34
PPR_control20ms_RightAligned_End130pt,35
PPR_control50ms_RightAligned_End130pt,36
